Date,Close
2025-07-27,272.51
2025-07-28,271.06
2025-07-29,272.5
2025-07-30,268.3
2025-07-31,264.88
2025-08-03,257.61
2025-08-04,263.19
2025-08-05,262.0
2025-08-06,261.71
2025-08-07,263.24
2025-08-12,259.27
2025-08-13,254.15
2025-08-14,252.33
2025-08-17,246.41
2025-08-18,246.36
2025-08-19,248.05
2025-08-20,251.52
2025-08-21,249.51
2025-08-24,249.27
2025-08-25,249.79
2025-08-26,249.92
2025-08-27,253.27
2025-08-28,250.61
2025-08-31,249.32
2025-09-01,253.45
2025-09-02,253.8
2025-09-03,251.96
2025-09-04,249.85
2025-09-07,249.68
2025-09-08,245.86
